UID,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100
179,15,1,426,43,351,1337,2,29,1,266,124,3,160,151,1,320,3,9,2,3,4,1,12,3,2,3,3,1,1,5,11,71,5,6,6,7,11,5,42,1,48,5,5,110,2,166,1,3,219,3,110,3,181,49,4,343,5,16,55,2,2,12,3,43,56,12,29,1,2,58,17,1,10,2,48,4,3,4,1,57,1,29,4,40,1,4,29,4,4,1,1,1,9,36,5,2,4,1,6,6
180,7,1,412,36,13,802,2,8,1,299,48,4,841,87,4,141,3,20,16,3,4,2,28,4,1,3,2,4,1,5,49,31,5,21,88,41,7,29,158,1,104,10,22,79,1,318,6,2,82,2,263,1,177,101,2,213,1,2,11,4,2,50,3,18,6,4,50,2,2,7,26,3,9,4,57,6,4,4,1,45,5,45,9,5,1,1,47,1,14,5,4,4,24,6,35,4,4,5,2,6
181,26,1,2,23,391,1071,1,5,1,300,49,4,864,39,4,199,2,27,20,3,4,2,34,4,3,3,1,5,1,3,23,146,11,26,66,31,20,41,108,1,81,9,32,112,4,591,8,3,218,1,373,3,150,24,4,83,6,33,3,5,1,25,1,34,15,27,6,1,4,44,30,3,29,2,60,3,3,3,3,34,3,15,4,42,3,1,33,1,47,6,1,2,3,23,44,1,2,4,4,10
182,14,5,238,28,414,99,2,12,1,233,172,4,238,230,5,315,1,8,15,2,2,3,13,3,2,2,2,3,1,5,10,123,12,15,63,9,14,30,171,1,215,9,24,112,1,678,2,1,411,3,228,1,280,220,3,170,4,24,23,1,2,24,1,3,35,39,5,2,3,27,16,1,44,2,28,5,1,3,1,64,4,28,2,37,4,5,20,1,18,5,1,2,34,34,23,3,5,5,8,4
183,25,1,1046,48,160,1006,2,30,1,135,82,3,1283,160,4,77,2,21,30,3,2,2,25,1,2,3,1,4,1,5,50,229,5,11,39,38,12,36,92,1,115,9,22,110,2,441,5,2,79,2,355,2,403,58,5,86,2,39,58,5,2,52,3,18,18,28,14,4,4,3,16,4,3,3,1,4,1,6,2,7,4,39,8,13,2,5,55,4,33,1,2,8,14,34,34,2,1,1,10,2
184,32,3,461,26,159,197,1,17,1,343,125,1,236,202,5,13,2,13,34,2,2,4,25,3,3,3,2,2,1,1,12,101,12,6,85,10,19,23,97,1,79,8,18,13,3,478,8,3,308,2,25,3,66,182,6,339,5,27,46,2,4,6,2,25,39,1,42,2,1,19,4,2,30,1,21,4,2,6,2,55,3,27,4,22,3,1,63,2,41,2,1,8,3,38,31,3,5,5,1,8
185,6,1,342,2,308,965,2,3,1,107,95,5,1641,54,3,73,3,43,3,2,4,4,52,5,3,2,2,5,1,4,47,137,11,24,31,1,19,8,226,1,145,5,8,8,4,5,7,1,105,3,169,2,62,255,3,270,3,32,33,1,1,24,3,60,10,33,33,4,4,15,44,1,18,3,47,4,2,1,2,12,4,41,1,4,3,5,47,1,30,1,4,6,23,42,36,2,4,1,6,2
186,19,5,1101,28,316,379,1,25,2,175,147,2,1826,227,5,70,1,39,3,2,3,1,5,3,1,1,2,4,1,1,33,35,5,28,81,9,20,4,158,1,212,2,6,43,1,570,8,3,81,1,73,2,167,139,1,158,2,42,21,5,1,23,4,46,49,19,17,2,1,30,2,4,32,1,37,1,4,4,3,13,2,27,9,7,2,3,54,3,52,6,1,9,12,28,3,4,5,1,9,4
187,29,5,762,45,155,713,1,13,1,184,19,5,339,94,2,32,1,20,11,3,2,2,40,1,1,3,1,4,1,1,8,151,3,4,115,6,15,38,49,1,134,1,1,82,1,229,6,3,394,1,259,1,425,218,5,76,5,35,5,5,3,51,4,18,56,31,17,5,4,63,38,2,48,4,52,6,4,4,4,35,4,12,3,43,2,1,14,5,36,5,1,9,3,2,44,3,2,5,2,1
188,25,5,79,3,322,1152,1,19,2,143,230,2,1133,116,4,108,2,15,3,1,5,4,33,4,1,2,2,1,1,4,3,84,5,29,85,22,23,9,40,1,63,1,7,67,2,1182,4,3,363,3,247,2,288,254,1,253,1,38,42,4,1,27,4,43,13,16,32,4,3,13,27,3,2,1,57,5,3,6,4,34,2,35,3,4,1,1,48,5,39,2,4,10,43,28,21,2,2,3,3,3
189,9,4,146,6,288,329,2,29,1,39,40,2,1881,107,2,328,2,9,7,3,4,1,2,5,2,3,1,2,1,1,39,69,3,18,55,3,22,3,65,1,75,1,25,41,2,696,7,1,92,3,59,1,368,27,1,38,3,11,59,1,2,1,2,19,27,13,19,3,3,39,35,3,36,2,5,1,4,2,1,39,5,27,10,15,3,1,61,3,4,3,4,7,12,18,26,4,3,5,2,2
190,9,5,509,14,236,422,1,24,2,165,48,5,2336,8,5,12,2,45,29,1,4,1,15,2,1,3,2,4,1,5,23,95,9,15,62,17,22,3,84,1,217,11,34,30,3,236,3,1,61,2,317,3,90,222,5,111,4,3,21,3,4,54,4,16,11,20,35,2,4,20,9,2,36,3,3,5,1,5,1,43,3,20,10,1,3,3,35,4,24,4,3,9,32,6,3,2,3,5,8,4
191,12,1,297,43,201,580,1,10,2,206,115,2,1535,108,4,220,3,23,17,1,2,1,44,2,1,3,3,5,1,3,9,102,10,9,102,8,15,15,88,1,85,3,2,34,3,184,3,1,258,3,378,2,371,67,5,243,6,42,3,5,4,39,1,32,8,1,20,5,4,50,42,3,18,2,64,1,3,3,4,13,2,37,7,21,4,5,38,2,56,4,4,3,14,32,5,4,4,4,2,2
192,16,4,660,30,233,623,1,34,2,166,113,1,1023,198,4,293,3,15,29,2,1,1,27,1,1,2,1,3,1,3,7,170,7,23,92,41,17,2,117,1,121,10,13,83,4,1102,10,3,73,1,28,2,19,100,5,251,6,35,24,3,1,22,3,36,23,6,25,4,3,29,34,3,50,2,38,2,2,4,3,44,2,29,9,10,3,1,21,1,58,3,3,2,2,8,26,3,3,3,1,4
193,10,1,1045,45,166,25,2,2,1,308,87,1,272,41,4,105,3,45,30,1,1,1,7,2,2,1,1,5,1,1,3,74,12,10,96,41,3,39,36,1,96,12,2,75,1,644,8,2,214,2,119,2,134,291,4,72,6,5,63,4,2,15,4,59,30,2,20,2,4,54,44,3,37,4,64,1,1,1,3,41,2,6,5,32,3,1,13,3,49,2,2,5,6,35,15,3,3,3,8,8
194,12,3,1069,51,300,119,2,1,2,99,58,3,816,219,1,264,3,36,32,1,4,3,10,1,2,1,1,5,1,2,42,61,4,24,51,12,11,7,161,1,148,3,5,25,1,590,9,1,118,1,330,3,23,154,4,232,4,11,9,1,2,16,1,21,40,17,21,6,3,32,44,4,49,1,53,3,4,2,4,13,2,38,3,15,4,4,64,5,43,5,3,8,34,26,16,4,3,4,5,3
195,6,4,970,50,180,315,3,45,2,328,198,1,322,103,3,225,1,2,32,3,1,4,41,5,3,3,1,1,1,1,27,196,7,17,119,21,15,19,21,1,206,6,14,61,3,566,3,1,130,3,136,3,394,156,4,50,3,40,26,4,3,50,3,55,36,33,15,3,4,41,9,1,38,4,8,2,4,4,1,19,4,14,7,35,2,3,56,4,51,6,3,10,25,28,8,2,4,1,4,4
196,14,4,1149,32,158,451,1,2,2,216,233,3,549,198,1,183,2,22,10,3,3,4,4,5,3,1,2,5,1,4,46,67,1,21,91,1,15,23,204,1,222,12,14,18,4,313,7,3,350,1,379,1,175,255,4,56,3,32,2,2,4,25,3,53,35,11,1,3,4,64,40,3,53,3,27,5,3,2,4,32,1,6,3,10,2,1,4,5,4,4,4,9,41,3,11,3,4,1,4,10
197,14,2,510,33,301,1013,3,31,2,162,94,2,220,161,4,271,2,3,23,3,2,3,39,3,1,1,3,4,1,1,37,177,10,3,22,34,14,6,67,1,70,8,12,39,2,768,7,1,107,3,340,2,317,324,6,22,3,13,8,5,2,31,2,26,16,34,35,2,4,33,10,3,43,3,32,4,3,3,2,50,2,18,5,32,4,5,40,1,34,6,2,10,11,2,36,4,2,5,4,2
198,1,1,844,36,47,1146,1,43,1,322,85,4,590,181,3,239,2,12,25,1,1,2,32,5,2,2,2,4,1,5,26,183,12,23,113,5,10,32,194,1,27,1,30,118,3,426,7,2,381,2,355,2,358,213,2,145,5,12,43,5,1,15,2,63,28,34,34,1,2,58,44,4,35,2,9,1,4,3,4,14,5,7,3,9,2,3,3,3,46,6,3,2,44,4,19,3,4,1,6,1
199,27,1,636,43,234,744,1,26,1,285,192,3,241,129,3,60,1,27,13,1,5,1,17,2,2,3,3,4,1,1,20,6,11,27,67,4,4,37,197,1,173,5,15,39,2,372,9,1,247,3,350,3,375,308,1,278,2,16,37,5,2,42,3,36,16,28,14,5,4,48,12,4,53,1,53,2,3,1,4,4,5,21,7,34,2,3,13,4,25,1,3,1,24,39,31,2,1,2,9,3
200,11,3,393,22,281,1333,3,43,1,82,192,3,167,177,2,86,1,44,24,2,3,3,43,1,3,1,3,4,1,3,46,49,9,19,56,40,19,26,43,1,129,5,29,60,4,1066,8,2,179,1,389,1,121,254,6,83,3,21,13,5,2,46,4,31,22,45,19,4,3,54,10,3,9,4,19,6,3,5,4,30,6,30,8,5,3,1,58,5,59,4,1,8,29,13,42,1,4,3,1,1
201,21,4,908,41,103,233,3,4,1,271,120,1,212,214,2,164,2,8,18,3,2,1,1,3,1,1,2,4,1,4,24,65,1,21,23,15,13,3,190,1,138,4,1,68,2,690,2,1,343,2,11,3,439,238,1,52,5,11,32,1,4,16,4,59,11,13,50,2,4,36,22,1,1,3,43,4,1,5,2,20,6,3,9,30,3,1,46,3,24,3,4,6,32,7,44,1,3,1,6,6
202,10,5,624,46,68,1234,2,45,1,159,125,1,1015,36,3,47,1,27,15,2,3,2,17,5,2,2,1,2,1,5,36,103,2,34,63,38,4,36,151,1,10,6,26,48,2,506,2,3,291,1,369,3,95,306,3,176,1,29,7,2,2,44,1,39,45,20,34,4,1,47,39,2,28,3,59,2,1,3,3,30,1,40,4,6,1,2,64,5,35,6,3,2,21,41,44,3,2,4,6,3
203,29,3,268,16,411,650,3,41,1,32,161,5,1885,23,5,102,2,24,3,3,3,3,24,1,2,2,3,2,1,3,42,68,6,23,109,12,17,28,3,1,79,3,4,57,4,223,6,3,57,1,413,1,388,109,4,121,4,21,7,1,3,18,4,63,23,27,30,5,1,13,6,1,41,1,2,5,1,6,1,60,5,20,8,4,2,3,15,4,15,2,1,2,40,19,36,1,2,2,10,6
204,6,5,732,17,341,339,1,40,1,325,59,1,1121,60,4,234,2,7,29,2,2,3,35,3,1,2,2,5,1,4,49,123,2,23,77,18,13,22,98,1,91,2,5,32,4,246,2,2,185,3,190,3,153,314,5,126,6,24,36,5,4,4,3,39,2,3,14,5,1,53,32,4,41,3,63,4,2,2,3,35,2,18,7,18,2,4,61,1,64,5,3,4,4,5,34,4,3,3,5,3
205,11,3,1092,1,56,1214,2,27,1,297,206,2,1525,184,4,175,2,33,2,1,2,2,50,3,2,1,3,2,1,1,36,76,3,20,61,8,6,14,202,1,211,1,13,105,1,359,10,1,381,3,204,3,49,38,3,197,5,11,48,5,1,51,4,12,29,20,2,1,4,39,9,4,25,3,38,3,2,1,1,4,5,7,8,32,1,1,19,2,41,6,2,6,27,39,36,1,4,3,6,10
206,18,1,271,15,289,249,3,31,2,23,36,5,775,61,5,117,2,44,34,2,4,2,10,5,1,2,1,1,1,5,30,177,4,6,14,34,21,8,131,1,224,3,34,27,4,26,10,1,347,2,192,1,136,63,2,115,3,36,34,1,3,13,3,19,32,36,5,5,4,16,24,1,41,3,45,5,1,6,2,40,1,25,2,32,1,1,53,4,16,1,2,6,11,2,28,2,1,2,3,1
207,2,5,751,22,71,251,2,22,2,224,221,2,1439,179,2,57,2,37,14,3,2,2,12,4,2,3,3,2,1,2,22,226,10,33,1,6,13,2,6,1,186,8,10,108,2,656,1,3,35,3,170,1,93,13,5,277,2,24,51,1,2,42,3,7,30,24,38,5,4,56,28,1,51,2,10,1,4,6,1,4,5,41,6,15,4,2,36,3,42,1,2,5,8,42,44,3,5,4,4,7
208,7,5,920,48,62,1033,1,38,1,288,212,4,208,169,5,133,1,40,15,3,2,1,52,5,3,2,1,2,1,2,35,132,4,22,10,36,14,12,208,1,121,7,20,112,1,1016,1,3,117,3,428,1,155,24,2,323,2,39,6,3,2,35,1,25,52,13,40,2,2,29,9,2,44,1,1,5,3,6,1,8,2,31,2,42,4,3,26,3,15,4,3,6,31,6,38,3,2,2,7,7
209,34,3,906,19,72,539,2,36,2,290,46,4,1323,207,4,59,3,45,12,2,5,1,13,2,3,3,1,3,1,5,14,159,7,16,23,25,19,18,7,1,127,6,15,106,3,937,3,2,36,2,69,2,305,47,3,207,3,18,9,5,4,30,2,6,23,36,31,6,3,23,10,2,22,3,63,6,2,4,4,58,1,30,10,11,3,3,51,3,41,1,3,9,27,2,34,3,2,5,7,1
210,29,2,451,4,176,1097,3,18,2,12,185,5,629,150,4,44,2,10,33,1,1,1,21,3,2,1,1,4,1,4,19,76,2,30,21,23,17,28,164,1,95,9,1,16,1,386,10,3,375,3,238,1,341,247,4,113,1,45,38,1,2,23,3,62,51,19,33,1,2,45,20,2,47,1,40,3,1,3,1,16,5,8,4,26,1,4,4,4,12,3,2,2,45,32,27,3,1,3,4,2
211,23,4,200,36,135,1274,1,6,1,60,35,2,1939,22,1,151,2,8,16,2,1,4,31,1,1,3,1,1,1,4,33,88,9,11,105,4,12,40,88,1,209,8,7,102,4,1005,3,1,245,1,29,1,429,168,5,82,3,31,64,4,4,55,1,58,54,24,48,6,2,46,37,2,50,3,15,3,2,1,2,13,5,29,4,26,3,5,22,5,26,4,2,3,10,20,6,4,5,2,10,7
212,34,1,689,9,287,1270,2,39,2,185,66,1,16,63,4,264,3,34,18,3,5,1,39,1,2,2,2,1,1,4,23,68,5,25,81,33,15,25,182,1,54,3,6,92,1,907,7,3,396,2,391,3,172,90,4,7,5,32,57,2,1,24,4,27,55,29,21,1,3,23,33,4,56,4,11,4,2,2,3,38,4,23,5,17,2,4,28,4,1,6,3,9,2,4,9,3,2,4,6,9
213,7,1,749,18,431,846,2,28,2,192,89,4,2158,115,1,308,2,25,19,2,2,2,41,1,2,3,1,5,1,3,35,74,1,30,123,34,19,18,32,1,216,8,3,96,3,576,10,3,33,3,101,3,418,299,2,275,3,34,6,5,1,1,1,38,38,27,46,4,1,3,1,4,26,2,50,2,1,2,4,27,5,21,6,16,2,1,55,2,43,2,2,7,34,14,28,1,2,3,1,7
214,33,1,633,27,334,919,3,11,2,288,221,4,966,81,3,241,1,16,31,2,1,4,7,4,1,1,2,1,1,4,4,34,7,13,43,22,6,6,59,1,45,10,8,103,2,1006,9,3,288,1,335,2,401,305,5,102,2,32,48,1,4,37,4,61,13,13,12,6,4,5,14,3,15,1,31,3,1,1,2,25,5,15,6,17,2,3,55,1,28,1,3,6,45,21,30,1,1,2,1,2
215,30,1,519,49,38,645,2,28,2,166,120,5,1263,11,1,159,2,34,19,2,5,1,47,4,3,3,1,3,1,2,46,98,6,15,68,28,4,35,177,1,85,2,3,36,4,1156,1,3,118,2,34,1,399,224,4,55,2,12,3,4,4,41,3,61,11,28,33,1,4,49,8,3,12,1,7,5,1,6,4,55,6,4,10,26,4,4,59,1,36,4,2,1,37,43,34,4,1,2,2,3
216,14,2,654,14,289,586,1,13,2,301,197,4,209,38,2,271,1,17,23,2,2,2,12,5,3,1,1,3,1,1,17,16,3,12,51,11,15,39,154,1,121,6,30,32,1,381,8,1,108,3,315,3,399,52,6,313,4,44,41,1,2,34,1,48,25,24,14,4,1,2,18,3,21,4,36,4,1,6,3,12,3,7,10,43,3,5,39,2,53,5,1,9,34,34,5,3,1,1,7,1
217,7,4,258,42,144,1221,2,27,1,190,164,5,1463,105,4,116,2,7,11,2,3,1,18,3,2,2,3,4,1,3,1,125,12,22,5,41,3,28,5,1,231,6,17,98,1,731,3,3,325,2,287,3,19,332,5,205,4,42,2,3,4,15,3,15,40,35,32,4,4,27,17,1,48,3,23,4,1,3,3,50,4,42,6,13,3,2,48,2,46,5,4,1,25,1,40,3,1,4,5,2
218,15,2,124,6,386,389,1,34,2,117,105,2,1979,79,2,155,3,35,34,1,5,1,50,1,1,3,2,3,1,2,38,176,3,15,7,2,3,17,28,1,56,3,33,90,3,771,3,2,74,1,315,1,441,302,6,260,6,7,58,5,1,45,1,36,54,13,11,5,2,32,40,2,24,3,51,3,4,5,3,3,6,22,6,25,1,5,6,1,4,1,3,4,42,39,37,4,3,2,7,3
219,30,4,718,2,158,1101,3,44,1,65,160,1,124,177,4,304,3,40,24,2,4,4,1,2,3,1,2,2,1,5,9,74,9,24,17,12,16,17,161,1,49,12,27,58,1,97,6,3,255,1,165,3,220,28,1,53,5,32,52,3,3,29,1,47,50,32,2,4,3,9,12,1,6,3,13,4,4,4,2,30,3,3,5,11,3,1,8,2,56,5,1,10,23,43,43,2,3,5,8,10
220,28,3,145,23,1,436,2,10,2,197,100,1,1143,56,4,343,3,15,34,2,2,1,35,1,1,2,1,4,1,2,49,178,1,8,22,27,3,36,209,1,65,5,23,91,2,415,8,1,266,2,411,1,136,286,2,105,4,20,21,1,4,37,3,2,32,36,45,5,1,40,7,1,22,2,13,6,3,4,3,52,2,28,10,34,2,4,38,1,7,4,1,1,22,44,14,3,4,5,8,1
221,10,5,194,13,157,407,1,26,1,331,70,1,567,30,2,135,3,40,1,2,5,1,1,5,1,1,1,4,1,2,17,221,5,16,12,41,21,29,112,1,107,7,16,69,3,360,7,3,315,1,124,3,455,302,6,283,2,34,43,5,1,51,1,19,46,38,13,5,3,28,9,4,37,4,56,6,2,2,1,54,3,28,7,40,4,3,16,3,47,2,3,4,18,35,33,3,3,4,5,6
222,19,5,1063,31,39,1019,1,15,2,159,167,2,428,65,2,25,1,17,4,2,1,2,23,2,2,3,2,4,1,2,8,229,4,3,34,23,2,36,60,1,114,2,25,120,2,433,8,3,86,2,11,2,87,55,2,132,2,28,46,2,2,31,2,41,38,32,5,2,1,56,3,3,6,1,1,4,2,6,1,18,1,4,5,44,1,4,35,1,40,2,2,7,27,12,33,1,4,2,9,6
223,7,3,297,47,196,980,1,2,2,142,77,2,55,34,5,210,2,4,16,3,4,3,15,5,1,2,3,4,1,1,10,213,5,31,40,39,22,36,197,1,3,4,8,69,1,994,7,2,208,2,237,1,70,255,2,196,4,29,16,5,4,48,4,31,9,29,5,5,2,15,1,4,7,2,12,5,3,3,3,9,6,31,1,25,2,5,23,1,45,4,3,7,21,43,42,2,2,2,3,2
224,28,5,929,48,201,952,2,42,2,177,36,4,1926,9,2,236,3,39,35,2,2,3,26,4,2,2,1,2,1,5,41,20,9,25,11,22,7,36,221,1,205,5,12,101,3,1078,5,3,253,2,195,2,323,224,3,67,6,13,39,3,4,51,4,35,27,25,27,4,2,18,39,4,36,1,24,2,2,1,4,53,3,9,7,28,4,2,11,2,30,5,4,6,20,1,7,4,4,3,3,5
225,7,1,959,15,132,237,1,2,2,146,71,2,511,108,4,323,2,8,32,2,3,3,16,3,3,1,3,2,1,1,12,152,10,23,18,30,14,31,194,1,211,8,15,90,4,202,7,2,112,3,117,3,381,305,6,114,4,32,64,3,1,9,2,4,49,11,18,2,1,51,38,3,7,2,41,3,4,1,2,34,1,34,7,23,3,4,16,2,49,1,2,2,36,45,32,3,4,4,3,6
226,6,2,308,4,393,924,1,7,1,122,225,2,1529,162,5,157,1,8,34,2,5,1,40,4,3,1,3,2,1,3,35,71,6,16,63,8,6,19,120,1,151,7,13,79,3,445,9,2,164,1,392,3,210,58,4,56,1,36,60,4,4,35,3,47,24,20,8,1,2,58,5,3,4,1,28,2,1,6,4,2,4,34,6,9,3,4,19,1,14,2,1,3,28,19,23,3,4,5,7,1
227,10,3,527,2,250,612,3,5,1,270,40,5,302,181,2,187,2,11,4,3,3,1,38,5,2,1,3,4,1,1,23,20,11,19,44,16,21,16,39,1,118,11,5,67,2,633,3,3,57,3,218,2,194,258,6,233,4,44,9,2,3,34,3,31,22,25,31,3,4,9,45,3,52,3,11,1,2,2,2,45,5,27,6,31,2,4,28,2,2,1,1,4,35,11,21,3,3,2,3,1
228,5,1,354,24,45,904,1,45,2,147,162,5,2179,154,4,191,3,33,30,3,5,1,12,4,2,2,3,3,1,3,48,89,10,3,120,6,5,15,100,1,64,11,27,99,1,159,7,1,154,3,13,3,318,233,4,97,6,17,53,1,4,37,2,40,41,35,29,5,4,41,13,1,5,1,8,6,3,3,3,44,2,43,8,38,2,4,11,2,46,1,2,1,23,23,13,4,3,4,8,9
229,1,2,671,10,161,398,2,5,1,34,51,2,2196,216,5,328,3,22,9,3,5,3,53,2,2,3,1,5,1,1,27,175,7,32,33,3,13,12,215,1,119,10,25,28,1,290,6,2,135,2,302,3,380,184,4,343,5,32,38,3,3,56,3,39,46,23,11,4,3,24,14,4,24,2,43,3,2,3,3,56,4,34,4,41,3,5,12,3,50,2,4,5,27,39,8,4,5,4,10,5
230,18,1,394,13,43,261,3,37,1,7,151,4,2335,222,3,148,3,17,14,3,1,4,19,2,3,2,3,4,1,1,12,135,1,6,47,11,5,26,142,1,23,7,10,24,1,826,5,2,58,1,183,1,240,75,4,83,5,9,53,2,4,26,4,61,39,16,21,6,1,4,35,4,5,2,26,2,1,1,4,52,3,36,7,19,4,3,4,2,4,4,4,6,15,40,7,1,1,1,1,4
231,19,5,254,4,186,214,2,18,2,84,38,5,931,92,2,38,3,5,8,2,1,2,26,1,2,3,2,3,1,4,32,130,2,23,123,7,1,5,135,1,97,8,28,110,2,1121,2,2,86,1,221,3,275,275,1,8,5,10,48,5,2,43,1,20,51,34,12,2,2,12,45,2,42,3,28,1,2,1,4,35,4,39,7,2,4,5,10,3,44,4,1,2,44,7,45,1,2,2,10,8
232,20,2,434,14,124,1185,1,41,1,299,196,2,502,123,4,164,1,37,33,1,1,4,17,5,2,3,2,1,1,1,12,67,12,10,80,2,2,19,32,1,169,10,22,123,1,720,8,1,218,1,57,3,362,129,5,32,4,1,20,3,4,34,3,36,7,38,27,6,3,29,10,3,33,4,48,5,2,3,4,51,6,2,9,9,2,5,34,4,52,5,3,10,16,41,13,3,5,4,2,5
233,30,5,1073,37,83,216,3,32,2,317,63,3,2277,62,4,91,3,34,3,1,1,4,30,1,1,1,3,2,1,1,31,148,5,1,7,29,1,13,171,1,108,9,28,103,2,154,4,3,49,2,391,1,205,124,5,268,2,40,29,5,4,46,1,55,32,36,43,3,1,51,41,4,17,2,9,4,1,2,3,31,6,1,6,27,1,5,1,4,42,1,4,4,34,34,18,3,1,4,5,10
234,11,2,1096,16,204,876,1,38,1,141,176,5,316,215,2,247,3,2,2,3,2,2,14,5,3,2,2,1,1,2,48,209,5,31,7,17,14,2,10,1,100,5,25,22,4,719,3,3,118,3,248,1,199,88,3,289,4,23,44,2,3,29,3,61,27,20,45,2,4,24,21,1,36,3,58,2,4,1,3,33,4,37,6,5,1,2,12,5,35,6,1,2,39,11,29,4,3,1,3,6
235,8,3,611,37,344,291,1,13,2,78,76,2,1840,166,4,18,1,31,29,1,2,1,28,5,3,1,3,4,1,3,32,102,6,33,96,3,23,6,133,1,189,8,26,17,1,1136,10,3,249,2,440,3,90,206,4,266,4,36,29,4,2,6,3,48,15,24,43,6,1,8,26,4,29,1,3,1,4,2,1,38,5,16,4,38,3,4,47,3,14,2,3,5,6,4,15,3,2,1,6,3
236,25,3,641,14,381,215,3,40,2,26,160,1,1154,32,2,252,3,44,26,1,3,2,6,5,1,2,1,1,1,1,6,113,1,2,13,33,7,14,9,1,23,8,32,120,1,710,6,1,280,3,11,3,368,31,2,85,1,2,37,5,2,20,4,37,31,22,23,6,3,17,3,3,27,1,19,6,2,6,2,37,5,10,10,39,2,1,9,5,40,5,3,4,33,19,27,4,5,4,8,10
237,20,2,1223,4,380,21,2,43,1,186,182,4,2237,130,1,125,1,5,34,1,4,3,6,2,2,2,1,3,1,3,47,103,1,15,53,41,1,2,102,1,143,6,33,16,4,1193,5,3,170,2,27,1,224,248,3,265,5,4,60,3,3,42,2,29,7,42,8,3,3,45,25,3,16,4,3,2,3,3,1,31,1,11,4,35,4,4,12,3,35,5,1,3,36,21,21,2,5,4,6,4
238,7,3,56,46,55,62,2,28,2,271,133,2,1489,182,3,232,3,20,13,2,2,3,43,2,2,2,1,5,1,1,4,136,10,21,102,30,18,20,95,1,11,7,13,114,1,935,2,2,201,1,169,1,311,12,5,260,3,22,38,3,4,51,4,61,23,45,11,1,3,18,14,2,22,2,20,5,2,2,3,12,2,25,8,45,2,4,50,3,40,1,1,3,1,18,15,3,4,5,5,4
239,27,1,1194,4,413,1017,3,24,2,104,226,1,1751,131,3,144,3,25,9,3,2,4,30,1,3,3,2,4,1,5,2,153,1,23,37,19,15,37,139,1,230,8,26,84,3,594,4,3,108,1,17,1,197,240,1,182,5,37,31,5,1,46,2,38,10,32,31,4,1,23,40,1,5,1,19,4,2,3,2,43,1,36,5,17,4,4,59,3,40,1,1,9,30,3,27,3,3,2,3,4
240,1,5,1154,40,399,1008,1,25,1,235,181,5,1959,137,1,29,2,22,12,1,1,2,40,1,1,1,1,3,1,3,2,20,2,17,67,11,21,39,150,1,36,11,5,22,2,948,6,3,453,2,290,1,438,259,3,15,3,20,57,2,3,5,2,41,7,38,39,3,2,63,33,3,30,4,61,2,4,4,1,47,3,36,10,12,2,5,58,2,31,1,3,6,21,18,28,2,4,1,5,1
241,9,3,230,18,325,1043,2,35,1,144,148,1,1714,182,4,118,2,13,21,3,2,3,27,3,1,1,2,4,1,1,5,134,4,11,97,8,14,28,4,1,129,8,3,1,4,201,3,3,50,3,115,3,22,316,6,202,6,15,14,4,1,39,3,27,5,11,46,6,3,38,26,3,40,3,63,1,2,1,4,39,3,4,10,24,3,4,47,5,52,4,1,9,44,38,20,1,2,3,6,5
242,10,3,272,16,22,491,3,17,1,305,115,2,1773,200,2,135,3,8,1,1,2,2,45,1,3,3,3,2,1,3,17,139,7,28,7,30,2,37,223,1,117,10,31,111,4,200,9,3,215,2,381,1,35,162,6,214,6,18,33,3,1,12,4,36,37,17,23,4,3,15,1,4,37,1,3,4,4,3,4,43,6,4,1,9,3,4,23,4,29,4,3,8,6,24,13,4,2,3,2,4
243,21,3,1015,20,62,1074,1,31,1,194,223,2,1697,170,3,335,1,30,31,2,5,3,46,4,1,2,1,3,1,2,38,156,10,30,22,14,7,5,28,1,157,11,28,50,4,453,4,1,401,2,301,3,177,125,3,195,6,39,30,2,1,6,4,48,12,38,29,2,1,51,44,4,22,3,1,3,4,2,1,16,3,43,7,31,1,2,57,5,27,6,3,8,12,5,35,4,4,2,4,6
244,2,1,830,24,357,1049,2,4,1,319,13,1,1898,131,4,244,2,17,34,2,2,2,24,3,1,1,2,5,1,4,45,154,6,10,73,16,11,38,156,1,149,1,6,2,2,509,1,3,123,2,313,3,242,341,3,59,3,39,64,1,1,31,2,63,30,20,6,1,4,43,8,2,18,2,63,5,4,6,3,2,5,3,10,5,1,4,48,3,38,4,4,2,22,40,27,2,4,4,3,5
