UID,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50
133,3,3,3,3,1,6,2,2,4,1,2,1,9,9,8,1,3,2,1,9,1,5,6,3,2,9,4,5,5,10,8,8,3,4,1,2,4,6,10,5,7,6,9,9,6,2,4,9,8,9
134,4,7,5,9,5,7,5,10,1,7,7,8,4,3,8,7,8,10,1,7,7,9,9,5,6,7,10,8,2,2,6,4,9,6,9,6,1,10,5,8,3,8,10,2,2,10,9,3,10,4
135,1,4,1,8,3,5,4,4,1,10,7,6,7,9,1,2,7,8,8,1,1,7,10,1,9,4,8,9,10,7,6,6,10,10,7,10,5,4,10,1,7,6,7,1,5,2,9,4,3,4
136,1,3,3,7,2,4,5,6,5,2,10,2,10,7,2,1,1,1,1,3,8,9,8,1,7,10,5,9,10,2,1,7,7,9,7,6,9,6,9,7,8,9,8,1,5,8,9,4,10,5
137,9,9,1,4,1,9,4,6,2,3,4,1,7,10,10,7,3,7,7,5,8,10,1,1,5,8,5,10,3,3,6,8,5,3,8,1,7,5,3,2,5,4,6,8,8,1,10,7,3,8
138,5,2,6,4,7,8,10,10,10,6,10,3,4,6,9,9,5,10,5,1,4,10,5,3,9,8,2,1,4,3,6,4,4,5,10,5,8,1,1,10,10,1,3,8,6,6,9,8,2,4
139,4,2,9,7,8,4,2,10,5,3,5,5,9,7,6,3,3,1,7,6,9,7,5,7,7,6,5,9,5,5,6,1,5,6,2,3,10,3,1,3,8,1,10,7,2,6,8,2,2,4
140,4,7,9,7,10,2,4,1,3,8,7,5,5,3,7,6,8,8,5,8,10,6,9,9,6,3,6,10,10,7,10,5,9,4,7,3,7,3,8,9,5,10,7,8,2,7,4,7,10,8
141,8,6,6,2,4,6,9,2,8,10,3,6,3,3,1,10,3,8,5,8,9,10,5,7,6,5,2,4,8,9,3,8,1,6,1,9,2,3,3,10,10,2,7,7,9,5,1,5,2,10
142,9,4,1,7,7,2,6,7,9,8,1,2,5,8,2,10,4,6,9,1,3,1,4,10,10,7,8,1,10,4,6,10,4,2,2,10,3,7,5,9,10,3,5,8,1,8,5,8,4,9
143,1,3,5,7,7,6,5,10,6,10,3,5,5,9,7,6,8,4,5,9,7,3,3,7,8,10,2,8,5,5,8,1,6,1,3,9,9,4,1,9,2,4,9,9,4,2,7,6,9,2
144,2,10,8,10,5,10,1,4,9,6,10,4,2,3,1,4,8,8,3,8,3,3,2,2,8,9,4,1,7,6,6,2,5,5,7,10,1,5,2,7,1,9,6,1,3,3,4,10,7,3
145,10,3,4,4,6,7,9,2,8,3,2,10,7,7,8,3,6,4,3,3,10,2,2,1,2,3,2,7,3,5,2,6,5,8,3,1,5,1,9,8,3,1,2,6,2,1,6,5,8,3
146,9,8,10,8,4,5,5,8,3,7,7,2,5,3,2,9,7,1,8,4,4,3,8,2,9,4,3,7,7,9,5,7,6,10,8,2,4,8,4,2,8,5,8,6,3,6,2,5,8,8
147,9,3,10,7,4,3,8,3,10,5,3,8,3,6,10,9,10,4,10,1,3,8,10,2,9,7,9,10,3,3,2,1,7,7,2,3,4,3,9,1,6,7,5,8,6,6,2,6,8,3
148,1,9,9,7,10,7,8,10,7,4,3,6,4,2,10,3,5,10,9,1,7,9,8,10,8,9,1,5,1,1,9,5,9,3,4,9,5,9,2,8,2,1,9,7,6,5,7,5,8,2
149,9,7,1,4,8,9,2,6,7,10,9,7,8,9,5,2,6,9,7,8,3,10,10,5,4,1,3,3,3,2,3,8,9,7,10,5,8,7,8,7,2,10,3,4,5,1,2,10,2,9
150,4,10,10,2,10,7,1,2,1,8,9,4,4,9,7,4,7,7,8,10,3,2,1,7,3,6,5,1,8,7,10,5,7,6,3,6,3,2,9,6,2,5,10,3,2,9,9,3,5,1
151,5,2,9,7,1,5,1,1,9,6,3,8,9,3,7,2,10,10,7,5,1,6,7,7,10,6,7,7,4,6,2,7,4,3,5,2,2,9,6,7,8,1,6,5,2,6,9,4,5,4
152,1,6,7,2,6,9,9,5,5,2,7,1,10,9,7,4,4,10,10,5,10,3,10,1,8,1,1,1,10,5,5,3,8,5,10,1,10,9,10,9,10,10,10,8,9,8,9,5,8,7
153,6,1,9,8,1,8,3,1,9,3,1,5,1,3,5,7,3,7,7,7,5,2,9,3,6,9,3,1,3,9,6,2,7,9,4,7,7,2,9,10,5,6,2,6,4,10,3,5,3,4
154,5,7,3,8,1,3,10,4,1,1,2,9,5,4,3,10,8,9,8,4,1,1,9,6,6,4,4,9,10,2,8,2,4,7,6,8,6,2,7,7,1,2,1,6,4,2,10,5,10,8
155,10,6,1,7,8,10,8,2,1,10,1,9,8,6,6,8,4,2,6,6,9,9,2,5,10,2,7,10,8,6,4,9,2,7,10,9,3,9,9,4,8,6,7,10,3,3,7,10,10,3
156,5,2,2,9,5,9,4,1,8,7,2,6,7,5,5,5,2,9,10,4,10,4,6,7,5,8,5,10,1,10,2,8,8,2,6,7,6,6,7,5,5,4,2,2,5,1,1,8,9,1
157,1,2,3,7,1,9,7,6,3,2,9,10,4,1,8,1,4,4,9,1,7,5,6,6,8,4,9,5,9,3,6,10,2,4,1,1,2,7,9,2,3,4,8,9,6,3,2,5,4,8
158,9,2,9,7,3,2,8,9,9,1,1,2,6,6,8,4,4,5,2,2,3,1,8,1,9,1,4,9,7,4,8,8,7,2,7,4,3,5,4,9,1,4,10,6,4,5,6,2,3,2
159,1,5,7,10,3,10,9,6,4,3,3,3,10,7,4,10,9,1,7,5,3,6,9,9,6,1,7,3,2,6,8,1,3,5,7,5,6,10,9,3,9,3,3,8,9,8,7,5,4,1
160,5,2,10,5,3,7,10,5,3,5,1,5,3,7,9,1,7,4,6,10,7,10,4,7,10,7,10,9,9,2,2,6,2,4,6,5,8,6,5,3,5,9,9,2,8,7,8,4,4,4
161,6,9,10,1,9,9,8,3,2,2,8,2,1,1,10,4,1,3,6,1,4,7,7,5,5,9,6,2,3,10,2,9,4,4,2,6,3,8,2,4,7,3,4,5,6,10,9,2,6,9
162,2,4,5,1,9,9,3,8,2,8,6,5,10,7,8,8,1,10,4,1,5,4,1,3,8,4,5,3,6,10,4,3,5,7,1,10,2,9,1,8,8,8,1,4,6,7,7,1,3,10
163,2,1,9,2,7,5,4,9,2,6,5,7,10,5,2,7,9,3,1,6,6,10,2,10,9,3,2,10,6,1,7,9,7,6,4,6,10,10,3,1,4,4,4,8,10,7,5,4,4,9
164,10,10,3,6,6,2,7,4,4,2,3,1,3,4,8,9,3,8,8,5,9,8,5,9,8,5,5,6,1,3,1,1,10,3,1,4,4,7,3,7,10,8,5,8,5,1,1,1,1,1
165,7,8,5,10,3,1,6,4,4,2,6,4,5,3,9,7,2,4,6,1,9,9,5,7,7,9,10,6,5,3,3,7,3,8,3,8,5,4,1,7,6,4,10,4,1,5,3,2,4,1
166,7,3,10,5,7,6,1,7,8,3,6,9,2,1,3,2,8,7,3,9,5,4,2,1,7,10,2,4,5,9,10,10,1,5,9,6,4,8,3,7,10,3,3,5,10,3,8,4,2,9
167,10,7,7,10,6,2,5,6,8,7,9,6,3,9,1,7,3,10,10,3,5,5,3,4,7,8,9,5,9,4,9,7,8,4,5,8,7,10,7,9,5,10,5,10,3,3,4,3,3,3
168,10,7,3,4,10,6,6,1,8,5,3,3,7,2,1,5,2,2,10,2,7,8,7,3,7,2,5,1,5,4,1,8,3,1,1,7,1,8,1,1,4,8,2,7,8,1,2,10,7,6
169,5,2,10,6,5,1,2,4,3,4,6,2,9,3,9,4,10,4,4,1,3,7,8,1,4,1,6,8,6,6,9,6,9,4,6,8,8,4,10,7,4,4,4,8,9,2,3,3,3,10
170,2,4,5,10,1,5,2,4,6,10,3,10,5,7,7,3,1,2,9,8,7,6,10,8,4,5,8,8,2,1,1,9,5,2,1,6,4,1,2,4,10,9,4,9,2,7,4,9,10,9
171,3,7,8,1,6,7,7,5,9,10,2,8,3,10,7,7,2,10,10,3,6,6,6,7,8,6,5,2,6,10,2,9,1,9,2,3,8,9,1,9,7,2,5,7,5,10,1,8,6,10
172,8,9,8,4,5,7,3,10,9,7,10,7,10,7,2,5,5,9,7,10,2,7,2,3,4,8,6,9,9,6,2,2,8,2,3,10,6,2,8,8,5,10,5,10,3,6,3,5,6,9
173,2,8,4,7,5,5,7,10,3,5,6,1,5,9,8,2,6,6,6,4,9,7,1,5,9,4,4,4,4,5,1,4,6,6,1,10,1,1,5,4,1,6,4,6,6,10,1,10,10,1
174,1,4,10,1,6,8,7,4,9,2,10,1,5,6,1,3,2,9,2,5,2,10,5,8,10,8,9,9,10,1,6,10,8,9,10,3,10,8,10,1,3,3,10,3,4,7,10,3,6,1
175,5,6,10,5,4,1,7,7,5,6,4,2,9,4,5,8,7,5,9,8,3,1,1,5,2,4,2,6,1,8,9,1,2,2,9,1,8,1,5,5,1,1,5,5,4,9,2,7,5,2
176,3,4,8,5,7,5,4,7,2,4,6,6,6,7,7,8,6,9,6,4,4,10,9,6,2,2,7,8,10,2,10,8,10,6,8,4,6,5,6,1,3,5,7,9,2,2,7,3,8,10
177,8,1,10,5,2,6,7,1,10,5,7,7,7,3,7,6,3,3,1,2,4,8,2,7,7,1,10,5,1,8,5,1,1,3,7,6,6,5,8,5,5,4,9,2,1,10,1,2,9,10
178,5,3,9,3,10,1,10,4,7,10,4,9,10,8,2,9,7,1,3,7,8,5,6,6,5,2,8,9,9,4,9,10,6,9,4,4,5,3,10,10,8,10,5,1,5,7,7,7,7,5
179,7,4,4,2,1,5,9,5,7,6,6,2,3,8,7,7,8,6,9,3,1,3,1,9,10,4,3,7,3,6,8,1,1,3,5,4,1,6,9,1,3,1,10,10,9,3,2,5,3,10
180,6,5,2,5,2,2,2,9,4,1,8,5,8,5,1,8,3,8,9,4,7,10,3,3,8,5,7,9,6,9,6,10,4,9,5,6,9,5,8,8,1,7,9,9,9,8,7,5,9,1
181,9,9,8,10,5,8,5,10,9,3,3,1,9,3,10,7,4,6,4,6,6,7,8,7,4,6,9,1,7,6,2,10,6,3,3,7,1,1,7,6,7,1,8,2,7,6,10,1,3,6
182,2,9,7,10,8,8,8,3,9,6,3,9,4,9,9,10,1,6,5,7,5,5,4,5,4,5,10,2,3,6,3,10,7,2,5,4,4,8,8,6,3,4,4,5,5,10,2,9,3,9
183,1,6,6,1,8,4,2,2,1,10,5,6,3,10,5,1,9,5,1,9,7,8,5,8,1,8,5,4,3,7,5,4,5,8,8,3,10,1,7,10,10,5,9,4,1,4,10,1,4,2
184,3,1,2,10,7,3,8,2,8,1,8,8,9,8,6,9,5,7,9,10,8,8,10,9,10,2,5,7,8,4,8,9,3,6,6,9,10,6,6,9,5,7,6,2,3,6,4,3,7,6
185,10,9,1,7,10,1,9,6,10,5,10,9,5,8,8,10,9,5,10,2,6,7,6,9,2,6,9,4,5,8,4,2,9,6,9,7,5,5,4,4,6,3,10,4,5,7,2,4,9,3
186,5,1,9,8,3,1,3,8,10,8,8,1,2,2,5,7,6,5,7,9,8,3,6,3,4,1,8,9,7,6,5,9,4,8,2,4,6,5,8,9,4,10,7,1,8,10,10,5,7,3
187,4,10,2,7,3,1,8,2,8,6,7,2,7,1,4,1,9,8,2,6,3,7,4,5,2,9,9,4,7,9,4,3,6,9,4,4,3,9,7,3,6,5,2,8,4,9,1,1,10,4
188,9,3,1,2,2,7,2,4,2,3,6,8,8,9,3,7,6,3,1,6,8,10,2,1,3,7,2,10,5,4,2,9,5,2,8,3,6,9,4,8,1,7,8,10,4,7,3,7,2,4
189,9,3,10,4,2,9,4,6,1,3,1,7,4,2,7,6,3,4,8,6,10,2,10,9,10,6,9,6,10,10,6,2,7,10,4,2,9,3,10,7,8,9,8,1,3,2,5,6,6,1
190,6,9,10,8,5,10,7,2,4,2,7,6,7,4,6,2,9,1,1,4,9,7,9,3,8,6,4,4,2,4,1,3,7,4,8,1,1,6,3,5,4,9,1,1,6,2,9,4,9,2
191,10,3,1,1,6,5,8,10,3,9,10,1,3,8,2,4,6,1,9,7,4,3,6,9,4,10,5,8,6,1,4,10,8,5,7,1,5,9,9,1,2,9,10,6,10,3,10,3,10,7
192,10,2,6,6,5,6,1,8,5,6,1,2,5,8,10,8,2,1,9,3,2,7,3,10,1,9,8,3,8,10,8,3,3,8,6,9,7,4,2,10,10,8,5,5,4,3,1,2,9,7
193,9,7,2,7,10,8,6,1,2,4,2,5,8,9,9,4,9,2,4,4,2,7,2,5,7,9,8,5,2,4,5,1,3,3,1,5,5,1,6,5,8,4,3,10,3,8,8,6,8,3
194,10,7,3,5,5,5,3,2,2,4,7,7,3,5,9,7,5,7,5,4,4,4,10,6,5,1,4,6,7,8,6,3,7,8,3,5,6,1,3,2,9,5,8,7,6,1,7,4,6,4
195,7,8,7,3,3,9,6,7,10,7,4,8,2,2,5,10,3,8,5,9,5,2,10,10,4,9,7,5,4,7,3,6,6,6,5,4,1,7,9,8,3,6,1,6,5,9,2,6,2,1
196,4,6,5,1,7,7,3,3,7,9,10,6,9,5,8,3,5,5,7,3,3,3,10,1,9,7,1,5,1,8,3,3,1,1,5,2,1,4,8,4,7,3,2,5,8,4,8,6,4,5
197,3,9,10,3,6,1,10,8,2,2,9,6,5,2,2,2,9,5,5,10,5,7,8,6,8,8,1,9,10,9,1,2,8,3,4,3,5,9,5,5,5,4,6,1,10,1,7,8,10,9
198,2,4,10,9,6,7,8,4,3,6,7,9,4,2,5,10,9,5,6,1,1,2,3,5,6,8,8,6,10,2,5,6,8,6,1,9,4,1,4,7,3,9,3,1,4,9,7,9,8,9
199,4,5,1,10,5,7,5,5,10,10,10,8,7,2,10,4,6,4,3,3,7,6,7,2,8,4,7,8,9,3,10,5,2,5,2,6,1,9,10,9,1,3,2,1,4,4,6,8,1,4
200,1,10,8,3,10,9,3,8,9,4,2,9,2,4,9,5,1,3,1,2,10,7,1,10,4,3,3,4,3,7,4,2,8,3,6,9,8,8,6,1,8,1,8,2,2,6,6,6,10,5
201,8,2,9,7,7,8,10,2,3,5,6,1,4,5,6,8,7,6,3,8,1,9,10,7,4,3,8,4,5,3,9,2,4,4,8,4,5,4,6,8,6,4,10,6,3,10,4,9,1,6
202,8,10,8,6,1,2,8,8,9,9,2,5,1,7,3,8,1,2,1,4,8,4,5,8,10,6,1,10,3,10,6,2,9,2,8,10,10,2,3,3,2,8,8,5,4,7,6,4,5,2
203,2,2,7,2,6,5,1,8,6,2,5,8,4,6,9,10,9,4,9,1,4,4,8,5,1,6,1,2,3,6,3,7,4,2,2,4,10,10,10,9,7,3,3,8,6,3,7,4,6,9
204,5,2,10,8,9,6,2,5,3,8,2,2,5,3,8,3,7,6,7,6,10,9,10,4,7,5,8,7,2,9,10,3,6,2,3,3,9,3,7,3,3,5,10,3,6,5,8,6,8,9
205,8,2,10,10,3,7,3,5,5,6,4,6,4,6,2,9,10,6,2,7,8,2,4,6,2,9,6,6,5,5,9,5,7,8,3,10,1,9,2,3,2,8,7,8,9,5,9,3,6,8
206,9,3,5,6,10,2,10,2,3,2,7,4,9,5,5,7,1,2,7,3,3,2,10,2,7,8,10,5,7,8,5,10,2,2,6,10,1,3,2,10,8,6,2,9,10,2,5,8,10,9
207,7,7,5,10,2,1,8,10,2,4,7,4,3,10,5,1,5,8,8,2,9,4,10,5,6,7,8,8,3,8,2,4,10,2,7,10,9,10,6,10,5,6,4,9,9,3,6,4,1,9
208,9,9,6,7,8,5,10,1,7,10,2,3,1,4,3,6,4,1,6,1,1,8,9,1,5,5,6,7,4,1,8,2,9,7,10,1,3,3,4,1,6,1,7,9,10,6,4,6,5,6
209,3,9,4,6,6,1,8,2,3,5,2,7,10,7,1,5,3,2,5,2,5,7,9,3,4,3,6,3,9,9,8,7,9,8,6,9,10,5,2,1,2,10,2,3,9,1,2,9,10,3
210,3,3,1,1,1,7,7,10,6,8,2,4,2,3,8,9,10,4,8,5,4,8,9,4,4,8,10,5,10,1,2,4,7,2,7,3,7,9,8,2,2,7,1,3,8,10,2,6,6,8
211,10,4,2,3,2,6,6,10,9,7,1,9,4,7,7,10,2,2,5,8,8,3,10,10,6,9,1,10,9,5,1,3,4,7,9,5,5,7,2,4,5,1,7,8,1,5,3,7,1,10
212,8,8,6,10,6,1,6,7,6,7,6,9,1,5,2,2,5,8,4,2,4,3,3,9,10,6,6,3,1,7,7,8,6,8,8,6,3,1,1,4,8,7,6,2,9,5,8,10,4,6
213,9,1,9,8,1,9,10,5,4,7,8,4,4,2,3,8,8,2,1,8,1,8,8,3,2,6,7,5,3,5,5,6,10,10,10,6,10,7,1,7,2,2,7,7,5,6,9,10,8,9
214,5,3,5,2,6,10,10,4,10,9,9,2,7,8,7,3,8,10,9,9,5,3,7,5,4,2,1,1,5,7,2,7,6,1,9,1,7,9,3,4,4,8,4,3,6,1,6,3,9,6
215,7,10,5,7,4,7,9,7,10,9,7,2,4,5,3,4,4,6,3,1,5,9,1,5,5,10,4,4,8,7,4,4,5,1,8,2,6,9,2,9,8,5,4,5,4,10,4,1,3,5
216,8,2,3,3,3,5,6,1,7,3,4,6,9,1,3,4,8,6,1,7,5,3,3,3,4,2,9,5,6,9,8,6,6,10,2,7,4,6,10,5,5,3,1,6,9,7,2,3,9,10
217,7,3,3,4,6,2,2,3,9,10,5,8,6,7,9,5,3,7,5,2,1,7,8,2,2,4,1,3,4,5,3,10,8,10,4,7,7,2,5,7,5,5,8,5,10,6,2,10,2,4
218,1,7,10,10,6,2,6,2,7,7,1,8,10,9,5,9,4,6,6,5,4,7,1,4,1,10,10,6,3,7,6,2,3,10,2,4,6,3,6,6,2,5,3,2,9,9,4,10,7,9
219,5,5,7,7,7,8,10,6,6,10,10,2,3,3,1,4,9,5,8,5,1,7,1,4,9,4,3,8,1,3,10,7,4,2,2,5,4,1,8,7,3,7,9,8,10,8,1,9,6,8
220,3,1,7,2,4,1,2,9,3,7,3,4,9,4,9,6,4,6,3,7,7,7,9,3,2,8,3,6,10,1,1,7,1,6,6,10,6,1,7,7,10,2,3,1,2,7,8,9,7,10
221,4,9,1,1,2,6,2,3,10,1,9,7,7,4,5,3,3,6,8,4,10,2,5,8,4,4,10,9,5,8,1,10,6,10,1,8,2,5,3,7,1,6,6,7,4,10,7,7,9,8
222,6,10,5,4,2,3,1,5,3,8,1,7,1,5,6,7,3,10,7,1,6,8,7,10,2,1,10,8,9,5,4,9,1,2,7,5,2,4,1,3,3,8,8,5,4,8,4,4,8,3
223,10,9,8,1,7,10,2,4,9,3,10,2,4,2,9,5,2,9,9,2,2,6,1,2,5,5,7,8,7,1,2,10,7,5,9,6,5,5,10,5,9,4,9,5,7,2,8,3,9,3
224,1,3,5,3,8,9,9,9,1,6,7,3,7,10,10,6,10,1,3,2,5,3,2,4,4,10,2,5,4,6,2,10,8,1,1,8,3,5,7,7,1,9,8,10,7,2,8,9,1,9
225,3,7,7,3,10,2,6,7,4,4,5,4,4,9,3,6,6,9,6,2,3,10,7,8,6,3,1,10,8,2,2,2,8,1,2,1,2,10,4,7,6,3,1,4,3,2,4,7,6,3
226,1,7,2,8,9,8,6,9,5,2,10,1,7,2,6,7,8,8,1,8,9,1,5,1,6,5,1,6,4,5,3,9,4,8,1,5,7,7,1,10,1,5,5,4,3,5,3,4,6,2
227,5,6,5,4,8,4,3,6,8,6,7,3,4,6,4,8,3,5,8,7,4,2,6,6,10,7,7,4,8,5,1,8,7,10,10,9,4,9,10,6,7,9,8,3,5,5,4,4,8,10
228,4,10,3,8,3,7,6,1,8,10,8,3,9,10,2,2,1,9,4,1,2,3,4,7,2,9,4,3,2,7,3,3,10,5,10,6,3,3,9,1,10,5,1,4,9,4,9,4,4,8
229,10,6,10,7,8,7,1,7,10,6,7,9,5,4,3,5,3,4,5,4,6,6,6,7,10,5,5,7,7,3,3,3,5,3,10,8,2,1,8,10,10,7,1,4,6,8,1,10,10,3
230,9,9,9,4,8,6,1,4,6,7,10,2,5,6,1,4,5,7,10,3,7,4,6,1,9,7,9,2,5,1,8,8,2,6,10,9,5,8,3,2,6,5,2,1,1,5,5,9,2,9
231,5,5,8,4,6,4,3,1,9,10,4,2,2,5,7,10,7,4,10,1,5,8,10,8,5,5,4,1,4,10,6,6,1,5,2,6,1,7,6,3,10,5,6,2,5,3,3,4,4,1
232,5,5,1,8,8,9,4,7,3,10,6,6,1,4,8,8,8,3,8,5,2,7,3,7,10,5,10,8,2,4,7,4,6,2,4,1,5,8,8,9,10,8,5,5,8,5,3,4,7,4
233,4,6,5,7,3,8,7,5,8,9,5,3,10,4,1,9,8,8,7,5,10,2,9,4,10,6,1,4,6,6,3,1,6,8,1,7,9,8,8,1,9,7,6,1,1,2,5,9,10,6
234,8,2,7,9,2,9,8,4,9,8,5,6,3,3,9,4,10,1,5,7,2,4,8,3,10,8,8,8,1,10,6,9,9,6,6,9,3,4,8,1,10,5,7,4,7,5,1,4,5,6
235,5,8,2,3,3,5,9,2,2,8,7,7,10,2,4,8,2,3,3,7,9,7,5,3,7,10,2,4,1,10,9,3,1,1,6,3,6,9,3,6,10,5,4,3,5,2,5,6,2,9
236,6,7,6,8,3,4,5,3,10,9,3,3,8,2,4,2,10,3,5,6,10,1,2,3,7,9,10,2,4,5,3,8,9,4,6,9,5,5,7,10,6,9,3,6,1,10,5,2,2,6
237,6,2,5,2,7,3,5,5,8,1,6,6,8,1,2,7,1,4,3,7,3,7,10,3,8,8,5,7,6,7,3,9,9,3,6,9,1,7,5,9,3,4,5,9,10,9,2,2,2,1
238,1,6,3,10,3,9,3,1,7,7,4,8,8,6,5,9,4,8,1,4,10,8,5,3,2,7,7,9,6,7,8,5,6,6,2,3,6,1,7,4,10,4,4,8,6,4,5,2,2,10
239,9,9,8,6,3,9,7,9,10,8,8,6,4,8,7,6,8,6,8,9,10,1,6,8,6,4,2,4,10,2,2,6,3,5,8,8,7,1,7,5,2,5,10,4,8,6,2,2,10,10
240,3,10,7,8,8,5,9,5,3,6,4,5,10,6,7,10,7,5,5,6,8,1,3,8,4,2,7,1,3,5,9,7,10,10,6,4,3,6,3,1,6,1,6,8,9,1,2,3,10,3
241,5,4,6,1,1,8,3,2,8,10,9,6,9,7,5,1,2,9,8,9,9,1,10,7,8,9,6,8,5,9,6,9,2,5,10,7,7,6,5,4,1,1,7,7,5,5,10,5,2,1
242,2,3,1,7,10,10,4,6,4,10,2,4,9,10,7,5,10,5,6,6,9,3,8,2,2,5,9,7,1,3,3,4,1,1,5,4,1,8,6,4,3,10,4,8,8,9,7,6,4,10
243,2,8,1,8,4,2,9,1,8,1,5,9,1,4,10,2,6,4,4,1,3,9,7,1,5,6,8,1,5,7,10,3,5,1,6,3,5,5,5,7,4,9,7,8,8,9,2,4,3,2
244,1,1,9,2,2,6,9,4,10,3,1,5,9,9,3,4,9,10,7,7,8,9,2,10,7,10,9,3,10,4,3,6,1,6,6,8,7,5,9,2,2,7,7,2,10,3,5,1,2,6
245,5,2,8,6,8,5,3,10,3,10,10,5,5,9,4,5,9,6,2,7,7,6,9,9,2,7,5,5,2,3,7,7,6,1,7,3,8,7,5,4,1,4,7,4,10,1,3,9,1,9
246,4,9,9,3,5,3,2,6,10,2,5,6,8,2,10,10,7,9,5,5,5,6,7,4,1,3,1,1,6,8,9,1,9,2,3,6,6,7,5,2,7,7,9,4,2,5,4,5,5,1
247,5,4,7,8,2,1,4,5,5,8,9,6,3,9,3,10,1,8,8,7,6,8,2,9,5,5,7,6,5,10,5,10,5,2,9,5,7,3,10,2,6,5,10,7,3,6,5,3,7,5
248,4,5,1,8,10,6,7,2,1,9,5,7,9,1,8,3,8,10,9,6,4,8,1,8,7,4,9,3,10,3,6,6,8,4,4,6,5,10,10,1,7,4,7,1,1,1,5,6,6,2
249,4,1,6,1,5,5,10,2,1,6,5,10,5,3,5,9,7,7,2,3,7,2,3,8,2,7,7,2,3,3,2,7,6,8,5,1,3,8,1,1,9,9,2,6,3,10,8,4,2,8
250,8,5,10,1,9,10,9,10,6,8,2,4,3,1,6,6,3,8,7,7,10,2,7,6,7,10,4,9,1,6,5,8,9,3,1,7,5,3,10,4,10,5,3,3,4,9,7,9,1,8
251,8,6,10,1,8,10,5,6,3,4,10,5,2,8,6,4,7,1,6,1,9,8,1,4,1,6,10,2,5,1,10,3,3,1,1,9,1,9,3,8,1,10,5,4,1,2,7,10,5,9
252,4,5,7,7,1,4,1,8,9,3,8,9,10,9,9,6,5,8,9,1,10,8,9,10,10,10,9,6,8,4,6,4,1,2,6,9,2,1,2,1,9,9,1,6,9,6,2,5,1,8
253,7,1,10,9,10,1,2,2,5,6,9,4,8,4,7,8,10,1,5,2,4,2,7,6,7,2,2,9,5,9,7,2,6,9,5,7,5,6,10,5,9,10,2,5,3,1,4,1,2,6
254,6,1,2,7,6,9,7,4,1,7,1,5,2,5,10,5,10,3,1,3,5,7,6,9,5,9,6,2,5,8,8,9,4,5,9,10,10,10,5,1,2,4,10,6,8,5,2,5,6,2
255,3,1,9,9,2,2,6,1,9,3,9,4,9,3,3,3,6,10,10,8,3,5,10,10,4,8,9,8,4,7,7,2,5,9,5,4,6,6,2,10,3,4,10,6,8,1,4,7,4,3
256,2,2,6,3,3,8,10,3,4,3,4,2,8,8,3,9,9,1,8,2,8,8,3,8,2,6,5,3,4,5,8,10,6,4,1,2,2,3,7,4,1,7,5,3,3,6,3,3,9,5
257,5,1,6,10,8,1,3,2,5,3,8,8,1,6,8,10,9,9,4,3,9,6,10,7,4,6,5,8,7,6,7,5,9,5,6,6,5,6,6,4,7,2,6,2,10,2,5,3,10,4
258,4,3,3,10,6,4,10,6,5,1,7,6,6,1,5,2,1,2,1,6,3,7,3,8,5,8,10,9,10,3,2,10,9,7,6,1,3,4,2,3,3,2,8,7,1,2,9,6,1,9
259,6,5,2,5,5,7,8,1,7,3,5,6,5,4,9,5,3,3,5,5,1,5,2,1,4,4,1,8,10,1,3,3,1,6,10,7,7,7,7,9,9,6,5,8,8,2,7,7,10,6
260,1,7,1,2,5,1,7,6,6,3,2,9,4,9,6,9,8,1,9,7,10,5,9,6,2,7,10,8,8,2,4,2,5,1,9,3,1,3,6,5,7,5,4,1,7,4,4,6,2,9
261,7,6,4,5,6,6,9,8,6,5,2,4,7,8,9,10,5,8,10,10,4,5,8,1,1,5,9,1,3,6,1,1,9,1,4,1,3,3,4,9,6,10,7,7,10,6,10,1,7,7
262,2,10,2,4,10,1,9,1,5,10,8,10,9,7,7,4,3,6,2,10,1,8,7,1,9,9,8,4,8,9,2,4,5,9,2,7,7,1,1,10,1,5,1,3,6,4,4,2,3,4
263,7,9,7,8,10,7,2,3,5,6,8,2,3,9,3,9,2,4,4,3,9,1,1,4,9,9,5,2,10,2,5,6,8,1,10,5,3,10,4,6,8,3,10,7,4,2,2,8,9,1
264,1,6,9,3,4,10,9,5,9,5,5,8,8,8,2,4,10,1,1,10,1,7,4,4,7,7,1,10,4,5,2,7,9,3,1,5,5,2,5,1,3,5,1,5,6,6,4,3,9,2
265,9,10,9,3,10,8,6,5,3,2,7,3,2,8,3,8,1,1,2,1,7,3,9,9,2,8,8,7,6,9,5,8,4,3,3,4,8,5,8,6,6,9,2,8,9,8,5,4,3,4
266,4,4,3,2,7,6,7,9,5,9,9,5,7,5,7,10,6,1,4,4,6,1,4,5,10,2,7,7,1,8,8,7,3,1,5,10,5,8,3,8,10,10,7,1,8,6,3,5,2,5
267,10,1,9,2,5,3,8,5,1,7,9,6,5,9,9,7,4,10,4,6,6,2,9,5,9,8,4,10,3,10,4,5,3,6,3,3,8,6,3,10,4,3,3,7,3,1,1,1,9,10
